name,url,price,img,brand,brand_url
 Scoop Neck Curved Hem T-Shirt,http://www.koovs.com/scoop-neck-curved-hem-t-shirt-88239.html,495,http://images.koovscdn.com/uploads/products/88239_5d6e5e6e4c9a64df08a9f8cbdb05e93f_image1_zoom.jpg,X.O.Y.O,http://www.koovs.com/men/brand/x-o-y-o/
 Scoop Neck Curved Hem T-Shirt,http://www.koovs.com/scoop-neck-curved-hem-t-shirt-88239.html,495,http://images.koovscdn.com/uploads/products/88239_c14937e3ea1b1d0dd3739bbfb1194640_image1_zoom.jpg,X.O.Y.O,http://www.koovs.com/men/brand/x-o-y-o/
 Scoop Neck Curved Hem T-Shirt,http://www.koovs.com/scoop-neck-curved-hem-t-shirt-88239.html,495,http://images.koovscdn.com/uploads/products/88239_e6f5689894d753ff86e265f049f93ca0_image1_zoom.jpg,X.O.Y.O,http://www.koovs.com/men/brand/x-o-y-o/
 Crew Neck T-Shirt With Tape Detail,http://www.koovs.com/contrast-tape-t-shirt-88007.html,484,http://images.koovscdn.com/uploads/products/88007_b967a78bb0411a9f84c19119c6e1633b_image1_zoom.jpg,X.O.Y.O,http://www.koovs.com/men/brand/x-o-y-o/
 Scoop Neck Curved Hem T-Shirt,http://www.koovs.com/scoop-neck-curved-hem-t-shirt-88239.html,495,http://images.koovscdn.com/uploads/products/88239_dd523df55b1f6b0be3f96156f5cb98c7_image1_zoom.jpg,X.O.Y.O,http://www.koovs.com/men/brand/x-o-y-o/
 Slim Jeans In Mid Wash,http://www.koovs.com/adamo-london-jeans_307-84642.html,1699,http://images.koovscdn.com/uploads/products/84642_309cfeedb54036339e86e5191c088679_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
 Cut And Sew Longline Shirt With Slit Pocket,http://www.koovs.com/cut-and-sew-longline-shirt-88267.html,1799,http://images.koovscdn.com/uploads/products/88267_f1165f8a8588b7ab6f157a3d07ec4ca3_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
 Contrast Panel T-Shirt With Mesh Back,http://www.koovs.com/contrast-panel-t-shirt-with-mesh-back-93270.html,899,http://images.koovscdn.com/uploads/products/93270_3c2436913d4c0a54da4a93f0c669f2d4_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
 Acid Wash Longline Denim Shirt,http://www.koovs.com/denim-acid-wash-shirt-with-pocket-87233.html,1699,http://images.koovscdn.com/uploads/products/87233_f4ac2dd5285410b4f8a4fe2e4fef5877_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
 Cut & Sew Woven Joggers,http://www.koovs.com/woven-joggers_347-88189.html,1899,http://images.koovscdn.com/uploads/products/88189_eee80996d4a86527b5f83f18a388acb5_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
